batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,imp_parent,imp_round,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,10,1e-05,4fc4329,large-epoch,1,1e-05,0.001,1.0,0.019999942648382972,0.02,round_01,0.4348119869828224,4.080369348553094,1.762405538084832,1.8520766141062432,222827.51620205966,0.10118801146745682,0.56015625,3.377479428052902,1.7725218683481216,1.2401216506958008,213734.015625,0.10118801146745682
128,./data,mps,2,10,1e-05,4fc4329,large-epoch,1,1e-05,0.001,1.0,0.019999942648382972,0.02,round_01,0.6001741042868658,3.141366969455372,1.788761892779307,1.130028192631223,201132.09521484375,0.18577063083648682,0.5931640625,3.1447652697563173,1.7893278062343598,1.2680105030536652,187673.6875,0.18577063083648682
128,./data,mps,3,10,1e-05,4fc4329,large-epoch,1,1e-05,0.001,1.0,0.019999942648382972,0.02,round_01,0.6827034997669134,2.6527563922784547,1.783528371290727,0.9126168255778876,174012.17440518466,0.27735936641693115,0.625390625,2.8517321825027464,1.775111299753189,1.2463528588414192,160536.15625,0.27735936641693115
128,./data,mps,4,10,1e-05,4fc4329,large-epoch,1,1e-05,0.001,1.0,0.019999942648382972,0.02,round_01,0.735911359671842,2.2437472441657023,1.7684151618318125,0.764341398480941,147938.8214222301,0.36370885372161865,0.58828125,2.8008174657821656,1.8242443740367889,1.4385217122733593,136227.75,0.36370885372161865
128,./data,mps,5,10,1e-05,4fc4329,large-epoch,1,1e-05,0.001,1.0,0.019999942648382972,0.02,round_01,0.7630405619063161,1.9561917571858927,1.7514124682003802,0.6901429375125603,126603.13345614346,0.42260605096817017,0.663671875,2.3604296058416367,1.83332898914814,1.1829668238759041,117744.4453125,0.42260605096817017
128,./data,mps,6,10,1e-05,4fc4329,large-epoch,1,1e-05,0.001,1.0,0.019999942648382972,0.02,round_01,0.7854620423167944,1.7360697960989042,1.7256598652086474,0.6288732093843546,110717.93678977272,0.4723273515701294,0.6962890625,2.175143399834633,1.7232867807149888,1.1366293139755725,103849.6875,0.4723273515701294
128,./data,mps,7,10,1e-05,4fc4329,large-epoch,1,1e-05,0.001,1.0,0.019999942648382972,0.02,round_01,0.8003817471590909,1.582312610000372,1.6961244717240334,0.5848038615658879,99749.18121892755,0.47341006994247437,0.541796875,2.949463677406311,1.7595049172639847,1.989289391040802,96015.671875,0.47341006994247437
128,./data,mps,8,10,1e-05,4fc4329,large-epoch,1,1e-05,0.001,1.0,0.019999942648382972,0.02,round_01,0.813429707153277,1.4787231941114773,1.6627125787464054,0.5504962844266132,92821.03098366478,0.4863332211971283,0.6318359375,2.4506913900375364,1.6896043479442597,1.5476935982704163,90298.09375,0.4863332211971283
128,./data,mps,9,10,1e-05,4fc4329,large-epoch,1,1e-05,0.001,1.0,0.019999942648382972,0.02,round_01,0.8216244476762685,1.4096493883566423,1.6283937628296288,0.5280653245069764,88156.7803178267,0.5003142356872559,0.6404296875,2.4809881836175918,1.6293955594301224,1.6207719132304192,86020.0,0.5003142356872559
128,./data,mps,10,10,1e-05,4fc4329,large-epoch,1,1e-05,0.001,1.0,0.019999942648382972,0.02,round_01,0.8275578045709566,1.3630003983324224,1.5849275995384564,0.5086594143120403,85432.51511452415,0.48187562823295593,0.596484375,2.654269516468048,1.6148536860942841,1.8042751669883728,84997.8203125,0.48187562823295593
